stift_kode,Stift,provsti_kode,Provsti,sognekode,Sogn
1,Københavns Stift,114,Vor Frue-Vesterbro Provsti,9346,Sankt Petri Tyske Menighed
10,Haderslev Stift,1007,Hedensted Provsti,2524,Dansk KFUK – London
10,Haderslev Stift,1007,Hedensted Provsti,2541,Den Danske Kirke – Brisbane
10,Haderslev Stift,1007,Hedensted Provsti,2503,Den Danske Kirke – Buenos Aires
10,Haderslev Stift,1007,Hedensted Provsti,2511,Den Danske Kirke – Christianskirken – Berlin
10,Haderslev Stift,1007,Hedensted Provsti,2529,Den Danske Kirke – Dhaka
10,Haderslev Stift,1007,Hedensted Provsti,2528,Den Danske Kirke – Dubai
10,Haderslev Stift,1007,Hedensted Provsti,2507,Den Danske kirke – Edmonton
10,Haderslev Stift,1007,Hedensted Provsti,2510,Den Danske Kirke – Frederikskirken – Paris
10,Haderslev Stift,1007,Hedensted Provsti,2521,Den Danske Kirke – Frederikskirken – Sydney
10,Haderslev Stift,1007,Hedensted Provsti,2522,Den Danske Kirke – Geneve
10,Haderslev Stift,1007,Hedensted Provsti,2526,Den Danske Kirke – Granly – Surrey
10,Haderslev Stift,1007,Hedensted Provsti,2525,Den Danske Kirke – Grimsby
10,Haderslev Stift,1007,Hedensted Provsti,2527,Den Danske Kirke – Jerusalem
10,Haderslev Stift,1007,Hedensted Provsti,2513,Den Danske Kirke – London
10,Haderslev Stift,1007,Hedensted Provsti,2504,Den Danske Kirke – Luxembourg
10,Haderslev Stift,1007,Hedensted Provsti,2523,Den Danske Kirke – Malaga Øst
10,Haderslev Stift,1007,Hedensted Provsti,2516,Den Danske Kirke – Margrethekirken – Mijas
10,Haderslev Stift,1007,Hedensted Provsti,2542,Den Danske Kirke – Melbourne
10,Haderslev Stift,1007,Hedensted Provsti,2531,Den Danske Kirke – Necochea
10,Haderslev Stift,1007,Hedensted Provsti,2518,Den Danske Kirke – New Zealand
10,Haderslev Stift,1007,Hedensted Provsti,2509,Den Danske Kirke – Nice
10,Haderslev Stift,1007,Hedensted Provsti,2514,Den Danske Kirke – Sharon – Calgary
10,Haderslev Stift,1007,Hedensted Provsti,2539,Den Danske Kirke – Småland
